"Malhotra Bakery",300,28.6738127,77.18563
"Matthi Wala",150,28.67,77.18
"Nirula's Ice Cream",250,28.694039,77.172323
"Punjabi Chaap Corner",400,28.6703604,77.1809128
"Puran Dhaba",200,28.6802986,77.1724663
"VadaPav 'n' Frankie",100,28.6873126,77.1732301
"Chhabra Sweets",100,28.6939921,77.1723764
"Kanwarji's",300,28.6945328,77.1787198
"Pizza Hut",1000,28.6929229,77.1780375
"Sagar Ratna",600,28.693362,77.1779476
"Smelling Salts",1200,28.6951682,77.1715677
"Wah Ji Wah",350,28.6960643,77.1795361
"Wheelyz",550,28.693567,77.1782172
"Bell Pepperz",1300,28.6965128,77.1795201
"Bharat Sweets",250,28.6929229,77.1780375
"Invitation",1300,28.6961234,77.1794454
"Mystique Melange",1800,28.6963822,77.1702198
"Pandit Ji Paranthe Wale",200,28.6965655,77.1799506
"Raju Chat Palace",200,28.680204,77.1855035
"Seasonings - The Spice Mysteries",1200,28.6950531,77.1793165
"SGF - Spice Grill Flame",500,28.6961906,77.1794162
"Apni Rasoi",300,28.6923511,77.177678
"Bablu Kabab Shop",500,28.6919464,77.1781273
"Cake o' Cuisine",300,28.691831,77.1778577
"Domino's Pizza",700,28.6924171,77.1778168
"Hunger Flames",500,28.6872232,77.1835542
"Puran Chand Ambala Wale Di Hatti",600,28.6924751,77.1780375
"The Cake Gallery",500,28.6849542,77.1674237
"Bablu Chic Inn",750,28.6924851,77.1780492
"Masala Basket",400,28.6921495,77.1778832
"Udta Punjab",600,28.6924751,77.1780375
"Munch Nation",350,28.69218909,77.17785772
"Bengali Pastry Shop & Snack Bar",550,28.6295216,77.2319679
"Bhimsain's Bengali Sweet House",400,28.6297833,77.231938
"Cafe Coffee Day",450,28.62981784,77.22546157
"Colonel's Kababz",600,28.6291908,77.2322198
"Faasos",600,28.637044,77.22947
"Karachi Bakery",200,28.6296552,77.2321395
"Nathu's Sweets",600,28.6297135,77.2321162
"Sachdeva Confectioners",550,28.636706,77.23034
"Bengali Sweet House",400,28.6296407,77.2319464
"Bijoli Grill",800,28.62586289,77.22564027
"Nathu's Pastry Shop",300,28.6291468,77.2320661
"Balaji Dhaba",200,28.6302526,77.2297102
"Bhagat Ji",100,28.62948089,77.22556986
"Hangout Kathi Rolls",200,28.6305852,77.229817
"Makers & Bakers",350,28.6337562,77.2243937
"Habibi Express",750,28.6291992,77.232182
"Cafe Coffee Day",450,28.55860308,77.16410805
"China Town",400,28.55882222,77.16399444
"Domino's Pizza",700,28.55759742,77.16454592
"High Street Kitchen & Bar",1200,28.55803178,77.16416739
"Pizza Hut",1000,28.55750937,77.16408022
"Sugar & Spice - Le Marche",800,28.55735771,77.16383245
"The Kathis",300,28.55749052,77.16335401
"The Kylin Experience",1700,28.55915278,77.16345278
"Arabian Nites",450,28.55731442,77.16421165
"Asia Kitchen",1300,28.55894144,77.16395449
"Dunkin' Donuts",600,28.55739275,77.16427334
"Krips Restaurant",1000,28.55720016,77.16388777
"McDonald's",500,28.5574864,77.16365643
"Yo! China",1300,28.55722872,77.16364905
"RPM",1800,28.55756561,77.16416772
"By The Way - Bellagio",1000,28.6963277,77.1799244
"Red - Bellagio",1500,28.6962508,77.1800463
"Soul Curry - Bellagio",1100,28.6963277,77.1799244
"Alpha 63",1500,28.5488265,77.1271685
